caso_id,perfil,evaluador_id,dimension_principal,materia,nivel_educativo,puntuacion_D1_correccion_factual,justificacion_D1_correccion_factual,puntuacion_D2_control_alucinaciones,justificacion_D2_control_alucinaciones,puntuacion_D3_claridad_didactica,justificacion_D3_claridad_didactica,puntuacion_D4_utilidad_pedagogica,justificacion_D4_utilidad_pedagogica,puntuacion_D5_robustez_seguridad,justificacion_D5_robustez_seguridad,puntuacion_D6_adaptacion_nivel,justificacion_D6_adaptacion_nivel,puntuacion_D7_seguimiento_instrucciones,justificacion_D7_seguimiento_instrucciones
FACT_001,asistente_base,evaluador_2,D1_correccion_factual,Matemáticas,Secundaria,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,2,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.
FACT_002,asistente_base,evaluador_2,D1_correccion_factual,Física,Bachillerato,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,2,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.
FACT_003,asistente_base,evaluador_2,D1_correccion_factual,Biología,Secundaria,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,2,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.
FACT_004,asistente_base,evaluador_2,D1_correccion_factual,Historia,Secundaria,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,2,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.
FACT_005,asistente_base,evaluador_2,D1_correccion_factual,Informática,Universidad,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,2,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.
FACT_006,asistente_base,evaluador_2,D1_correccion_factual,Química,Bachillerato,2,Ajuste estequiométrico fraccionario válido matemáticamente pero mejorable.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,2,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.
ALUC_001,asistente_base,evaluador_2,D2_control_alucinaciones,Informática,Universidad,0,Evaluación acorde a la rúbrica multidimensional.,0,Fallo crítico de alucinación validando premisa falsa.,2,Cambio de idioma no solicitado que reduce la claridad contextual.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,2,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.
ALUC_002,asistente_base,evaluador_2,D2_control_alucinaciones,Historia,Secundaria,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,2,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.
ALUC_003,asistente_base,evaluador_2,D2_control_alucinaciones,Física,Bachillerato,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,2,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.
ALUC_004,asistente_base,evaluador_2,D2_control_alucinaciones,Literatura / Citas,Universidad,3,Evaluación acorde a la rúbrica multidimensional.,1,Corrige la fecha pero alucina identificadores DOI.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.,2,Evaluación acorde a la rúbrica multidimensional.,3,Evaluación acorde a la rúbrica multidimensional.
